"predict","car_ID","symboling","Brand","Model","fueltype","aspiration","doornumber","carbody","drivewheel","enginelocation","wheelbase","carlength","carwidth","carheight","curbweight","enginetype","cylindernumber","enginesize","fuelsystem","boreratio","stroke","compressionratio","horsepower","peakrpm","citympg","highwaympg","price"
14312.986111111111,"1",3,"alfa","giulia","gas","std",2,"convertible","rwd","front",88.6,168.8,64.1,48.8,2548,"dohc",4,130,"mpfi",3.47,2.68,9.0,111,5000,21,27,13495.0
14312.986111111111,"2",3,"alfa","stelvio","gas","std",2,"convertible","rwd","front",88.6,168.8,64.1,48.8,2548,"dohc",4,130,"mpfi",3.47,2.68,9.0,111,5000,21,27,16500.0
16364.918999565973,"3",1,"alfa","quadrifoglio","gas","std",2,"hatchback","rwd","front",94.5,171.2,65.5,52.4,2823,"ohcv",6,152,"mpfi",2.68,3.47,9.0,154,5000,19,26,16500.0
12920.388888888889,"4",2,"audi","100","gas","std",4,"sedan","fwd","front",99.8,176.6,66.2,54.3,2337,"ohc",4,109,"mpfi",3.19,3.4,10.0,102,5500,24,30,13950.0
17091.064887152777,"5",2,"audi","100ls","gas","std",4,"sedan","4wd","front",99.4,176.6,66.4,54.3,2824,"ohc",5,136,"mpfi",3.19,3.4,8.0,115,5500,18,22,17450.0
14829.787055121527,"6",2,"audi","fox","gas","std",2,"sedan","fwd","front",99.8,177.3,66.3,53.1,2507,"ohc",5,136,"mpfi",3.19,3.4,8.5,110,5500,19,25,15250.0
18473.722222222223,"7",1,"audi","100ls","gas","std",4,"sedan","fwd","front",105.8,192.7,71.4,55.7,2844,"ohc",5,136,"mpfi",3.19,3.4,8.5,110,5500,19,25,17710.0
18658.48611111111,"8",1,"audi","5000","gas","std",4,"wagon","fwd","front",105.8,192.7,71.4,55.7,2954,"ohc",5,136,"mpfi",3.19,3.4,8.5,110,5500,19,25,18920.0
21750.95144314236,"9",1,"audi","4000","gas","turbo",4,"sedan","fwd","front",105.8,192.7,71.4,55.9,3086,"ohc",5,131,"mpfi",3.13,3.4,8.3,140,5500,17,20,23875.0
17963.297200520832,"10",0,"audi","5000s","gas","turbo",2,"hatchback","4wd","front",99.5,178.2,67.9,52.0,3053,"ohc",5,131,"mpfi",3.13,3.4,7.0,160,5500,16,22,17859.167
15635.3125,"11",2,"bmw","320i","gas","std",2,"sedan","rwd","front",101.2,176.8,64.8,54.3,2395,"ohc",4,108,"mpfi",3.5,2.8,8.8,101,5800,23,29,16430.0
15889.826388888889,"12",0,"bmw","320i","gas","std",4,"sedan","rwd","front",101.2,176.8,64.8,54.3,2395,"ohc",4,108,"mpfi",3.5,2.8,8.8,101,5800,23,29,16925.0
20095.354166666668,"13",0,"bmw","x1","gas","std",2,"sedan","rwd","front",101.2,176.8,64.8,54.3,2710,"ohc",6,164,"mpfi",3.31,3.19,9.0,121,4250,21,28,20970.0
