"predict","car_ID","symboling","Brand","Model","fueltype","aspiration","doornumber","carbody","drivewheel","enginelocation","wheelbase","carlength","carwidth","carheight","curbweight","enginetype","cylindernumber","enginesize","fuelsystem","boreratio","stroke","compressionratio","horsepower","peakrpm","citympg","highwaympg","price"
15191.358745136804,"1",3,"alfa","giulia","gas","std",2,"convertible","rwd","front",88.6,168.8,64.1,48.8,2548,"dohc",4,130,"mpfi",3.47,2.68,9.0,111,5000,21,27,13495.0
15191.358745136804,"2",3,"alfa","stelvio","gas","std",2,"convertible","rwd","front",88.6,168.8,64.1,48.8,2548,"dohc",4,130,"mpfi",3.47,2.68,9.0,111,5000,21,27,16500.0
16301.44658360774,"3",1,"alfa","quadrifoglio","gas","std",2,"hatchback","rwd","front",94.5,171.2,65.5,52.4,2823,"ohcv",6,152,"mpfi",2.68,3.47,9.0,154,5000,19,26,16500.0
13334.344660857267,"4",2,"audi","100","gas","std",4,"sedan","fwd","front",99.8,176.6,66.2,54.3,2337,"ohc",4,109,"mpfi",3.19,3.4,10.0,102,5500,24,30,13950.0
17397.725377121515,"5",2,"audi","100ls","gas","std",4,"sedan","4wd","front",99.4,176.6,66.4,54.3,2824,"ohc",5,136,"mpfi",3.19,3.4,8.0,115,5500,18,22,17450.0
14792.639517643995,"6",2,"audi","fox","gas","std",2,"sedan","fwd","front",99.8,177.3,66.3,53.1,2507,"ohc",5,136,"mpfi",3.19,3.4,8.5,110,5500,19,25,15250.0
18487.989771375007,"7",1,"audi","100ls","gas","std",4,"sedan","fwd","front",105.8,192.7,71.4,55.7,2844,"ohc",5,136,"mpfi",3.19,3.4,8.5,110,5500,19,25,17710.0
18908.89310468132,"8",1,"audi","5000","gas","std",4,"wagon","fwd","front",105.8,192.7,71.4,55.7,2954,"ohc",5,136,"mpfi",3.19,3.4,8.5,110,5500,19,25,18920.0
23066.735175439662,"9",1,"audi","4000","gas","turbo",4,"sedan","fwd","front",105.8,192.7,71.4,55.9,3086,"ohc",5,131,"mpfi",3.13,3.4,8.3,140,5500,17,20,23875.0
17943.76806407938,"10",0,"audi","5000s","gas","turbo",2,"hatchback","4wd","front",99.5,178.2,67.9,52.0,3053,"ohc",5,131,"mpfi",3.13,3.4,7.0,160,5500,16,22,17859.167
15691.72031472022,"11",2,"bmw","320i","gas","std",2,"sedan","rwd","front",101.2,176.8,64.8,54.3,2395,"ohc",4,108,"mpfi",3.5,2.8,8.8,101,5800,23,29,16430.0
15611.10081169898,"12",0,"bmw","320i","gas","std",4,"sedan","rwd","front",101.2,176.8,64.8,54.3,2395,"ohc",4,108,"mpfi",3.5,2.8,8.8,101,5800,23,29,16925.0
21418.66775319869,"13",0,"bmw","x1","gas","std",2,"sedan","rwd","front",101.2,176.8,64.8,54.3,2710,"ohc",6,164,"mpfi",3.31,3.19,9.0,121,4250,21,28,20970.0
21531.483859518117,"14",0,"bmw","x3","gas","std",4,"sedan","rwd","front",101.2,176.8,64.8,54.3,2765,"ohc",6,164,"mpfi",3.31,3.19,9.0,121,4250,21,28,21105.0
22999.964279515243,"15",1,"bmw","z4","gas","std",4,"sedan","rwd","front",103.5,189.0,66.9,55.7,3055,"ohc",6,164,"mpfi",3.31,3.19,9.0,121,4250,20,25,24565.0
33556.91634730394,"16",0,"bmw","x4","gas","std",4,"sedan","rwd","front",103.5,189.0,66.9,55.7,3230,"ohc",6,209,"mpfi",3.62,3.39,8.0,182,5400,16,22,30760.0
38631.6066674381,"17",0,"bmw","x5","gas","std",2,"sedan","rwd","front",103.5,193.8,67.9,53.7,3380,"ohc",6,209,"mpfi",3.62,3.39,8.0,182,5400,16,22,41315.0
37792.19548884923,"18",0,"bmw","x3","gas","std",4,"sedan","rwd","front",110.0,197.0,70.9,56.3,3505,"ohc",6,209,"mpfi",3.62,3.39,8.0,182,5400,15,20,36880.0
5615.396388629026,"19",2,"chevrolet","impala","gas","std",2,"hatchback","fwd","front",88.4,141.1,60.3,53.2,1488,"l",3,61,"2bbl",2.91,3.03,9.5,48,5100,47,53,5151.0
6847.390673854894,"20",1,"chevrolet","monte","gas","std",2,"hatchback","fwd","front",94.5,155.9,63.6,52.0,1874,"ohc",4,90,"2bbl",3.03,3.11,9.6,70,5400,38,43,6295.0
7571.231320717878,"21",0,"chevrolet","vega","gas","std",4,"sedan","fwd","front",94.5,158.8,63.6,52.0,1909,"ohc",4,90,"2bbl",3.03,3.11,9.6,70,5400,38,43,6575.0
6015.864974954671,"22",1,"dodge","rampage","gas","std",2,"hatchback","fwd","front",93.7,157.3,63.8,50.8,1876,"ohc",4,90,"2bbl",2.97,3.23,9.41,68,5500,37,41,5572.0
6043.221662500448,"23",1,"dodge","challenger","gas","std",2,"hatchback","fwd","front",93.7,157.3,63.8,50.8,1876,"ohc",4,90,"2bbl",2.97,3.23,9.4,68,5500,31,38,6377.0
8331.27276639039,"24",1,"dodge","d200","gas","turbo",2,"hatchback","fwd","front",93.7,157.3,63.8,50.8,2128,"ohc",4,98,"mpfi",3.03,3.39,7.6,102,5500,24,30,7957.0
6316.0121173649495,"25",1,"dodge","monaco","gas","std",4,"hatchback","fwd","front",93.7,157.3,63.8,50.6,1967,"ohc",4,90,"2bbl",2.97,3.23,9.4,68,5500,31,38,6229.0
7067.75420580203,"26",1,"dodge","colt","gas","std",4,"sedan","fwd","front",93.7,157.3,63.8,50.6,1989,"ohc",4,90,"2bbl",2.97,3.23,9.4,68,5500,31,38,6692.0
7067.75420580203,"27",1,"dodge","colt","gas","std",4,"sedan","fwd","front",93.7,157.3,63.8,50.6,1989,"ohc",4,90,"2bbl",2.97,3.23,9.4,68,5500,31,38,7609.0
8981.001082816667,"28",1,"dodge","coronet","gas","turbo",2,"sedan","fwd","front",93.7,157.3,63.8,50.6,2191,"ohc",4,98,"mpfi",3.03,3.39,7.6,102,5500,24,30,8558.0
8787.100763001985,"29",-1,"dodge","dart","gas","std",4,"wagon","fwd","front",103.3,174.6,64.6,59.8,2535,"ohc",4,122,"2bbl",3.34,3.46,8.5,88,5000,24,30,8921.0
