"predict","car_ID","symboling","Brand","Model","fueltype","aspiration","doornumber","carbody","drivewheel","enginelocation","wheelbase","carlength","carwidth","carheight","curbweight","enginetype","cylindernumber","enginesize","fuelsystem","boreratio","stroke","compressionratio","horsepower","peakrpm","citympg","highwaympg","price"
15224.116415181703,"1",3,"alfa","giulia","gas","std",2,"convertible","rwd","front",88.6,168.8,64.1,48.8,2548,"dohc",4,130,"mpfi",3.47,2.68,9.0,111,5000,21,27,13495.0
15224.116415181703,"2",3,"alfa","stelvio","gas","std",2,"convertible","rwd","front",88.6,168.8,64.1,48.8,2548,"dohc",4,130,"mpfi",3.47,2.68,9.0,111,5000,21,27,16500.0
16666.6154963165,"3",1,"alfa","quadrifoglio","gas","std",2,"hatchback","rwd","front",94.5,171.2,65.5,52.4,2823,"ohcv",6,152,"mpfi",2.68,3.47,9.0,154,5000,19,26,16500.0
13697.847562053747,"4",2,"audi","100","gas","std",4,"sedan","fwd","front",99.8,176.6,66.2,54.3,2337,"ohc",4,109,"mpfi",3.19,3.4,10.0,102,5500,24,30,13950.0
17583.0810535937,"5",2,"audi","100ls","gas","std",4,"sedan","4wd","front",99.4,176.6,66.4,54.3,2824,"ohc",5,136,"mpfi",3.19,3.4,8.0,115,5500,18,22,17450.0
14943.230696895665,"6",2,"audi","fox","gas","std",2,"sedan","fwd","front",99.8,177.3,66.3,53.1,2507,"ohc",5,136,"mpfi",3.19,3.4,8.5,110,5500,19,25,15250.0
18543.829074302263,"7",1,"audi","100ls","gas","std",4,"sedan","fwd","front",105.8,192.7,71.4,55.7,2844,"ohc",5,136,"mpfi",3.19,3.4,8.5,110,5500,19,25,17710.0
18799.030715504236,"8",1,"audi","5000","gas","std",4,"wagon","fwd","front",105.8,192.7,71.4,55.7,2954,"ohc",5,136,"mpfi",3.19,3.4,8.5,110,5500,19,25,18920.0
22973.63139299447,"9",1,"audi","4000","gas","turbo",4,"sedan","fwd","front",105.8,192.7,71.4,55.9,3086,"ohc",5,131,"mpfi",3.13,3.4,8.3,140,5500,17,20,23875.0
18166.511382618493,"10",0,"audi","5000s","gas","turbo",2,"hatchback","4wd","front",99.5,178.2,67.9,52.0,3053,"ohc",5,131,"mpfi",3.13,3.4,7.0,160,5500,16,22,17859.167
16288.112722316331,"11",2,"bmw","320i","gas","std",2,"sedan","rwd","front",101.2,176.8,64.8,54.3,2395,"ohc",4,108,"mpfi",3.5,2.8,8.8,101,5800,23,29,16430.0
16084.499618449754,"12",0,"bmw","320i","gas","std",4,"sedan","rwd","front",101.2,176.8,64.8,54.3,2395,"ohc",4,108,"mpfi",3.5,2.8,8.8,101,5800,23,29,16925.0
21367.098638930864,"13",0,"bmw","x1","gas","std",2,"sedan","rwd","front",101.2,176.8,64.8,54.3,2710,"ohc",6,164,"mpfi",3.31,3.19,9.0,121,4250,21,28,20970.0
21503.945954719133,"14",0,"bmw","x3","gas","std",4,"sedan","rwd","front",101.2,176.8,64.8,54.3,2765,"ohc",6,164,"mpfi",3.31,3.19,9.0,121,4250,21,28,21105.0
22922.274788895196,"15",1,"bmw","z4","gas","std",4,"sedan","rwd","front",103.5,189.0,66.9,55.7,3055,"ohc",6,164,"mpfi",3.31,3.19,9.0,121,4250,20,25,24565.0
33805.8275103956,"16",0,"bmw","x4","gas","std",4,"sedan","rwd","front",103.5,189.0,66.9,55.7,3230,"ohc",6,209,"mpfi",3.62,3.39,8.0,182,5400,16,22,30760.0
38364.32008151109,"17",0,"bmw","x5","gas","std",2,"sedan","rwd","front",103.5,193.8,67.9,53.7,3380,"ohc",6,209,"mpfi",3.62,3.39,8.0,182,5400,16,22,41315.0
37749.055267849515,"18",0,"bmw","x3","gas","std",4,"sedan","rwd","front",110.0,197.0,70.9,56.3,3505,"ohc",6,209,"mpfi",3.62,3.39,8.0,182,5400,15,20,36880.0
5200.699833789415,"19",2,"chevrolet","impala","gas","std",2,"hatchback","fwd","front",88.4,141.1,60.3,53.2,1488,"l",3,61,"2bbl",2.91,3.03,9.5,48,5100,47,53,5151.0
6751.5578080802625,"20",1,"chevrolet","monte","gas","std",2,"hatchback","fwd","front",94.5,155.9,63.6,52.0,1874,"ohc",4,90,"2bbl",3.03,3.11,9.6,70,5400,38,43,6295.0
7561.813290634698,"21",0,"chevrolet","vega","gas","std",4,"sedan","fwd","front",94.5,158.8,63.6,52.0,1909,"ohc",4,90,"2bbl",3.03,3.11,9.6,70,5400,38,43,6575.0
5635.476393738336,"22",1,"dodge","rampage","gas","std",2,"hatchback","fwd","front",93.7,157.3,63.8,50.8,1876,"ohc",4,90,"2bbl",2.97,3.23,9.41,68,5500,37,41,5572.0
5945.801558827556,"23",1,"dodge","challenger","gas","std",2,"hatchback","fwd","front",93.7,157.3,63.8,50.8,1876,"ohc",4,90,"2bbl",2.97,3.23,9.4,68,5500,31,38,6377.0
7984.796407380647,"24",1,"dodge","d200","gas","turbo",2,"hatchback","fwd","front",93.7,157.3,63.8,50.8,2128,"ohc",4,98,"mpfi",3.03,3.39,7.6,102,5500,24,30,7957.0
6400.355356224853,"25",1,"dodge","monaco","gas","std",4,"hatchback","fwd","front",93.7,157.3,63.8,50.6,1967,"ohc",4,90,"2bbl",2.97,3.23,9.4,68,5500,31,38,6229.0
7194.09326375373,"26",1,"dodge","colt","gas","std",4,"sedan","fwd","front",93.7,157.3,63.8,50.6,1989,"ohc",4,90,"2bbl",2.97,3.23,9.4,68,5500,31,38,6692.0
7194.09326375373,"27",1,"dodge","colt","gas","std",4,"sedan","fwd","front",93.7,157.3,63.8,50.6,1989,"ohc",4,90,"2bbl",2.97,3.23,9.4,68,5500,31,38,7609.0
8680.492772021837,"28",1,"dodge","coronet","gas","turbo",2,"sedan","fwd","front",93.7,157.3,63.8,50.6,2191,"ohc",4,98,"mpfi",3.03,3.39,7.6,102,5500,24,30,8558.0
8944.47445491845,"29",-1,"dodge","dart","gas","std",4,"wagon","fwd","front",103.3,174.6,64.6,59.8,2535,"ohc",4,122,"2bbl",3.34,3.46,8.5,88,5000,24,30,8921.0
13163.777644672937,"30",3,"dodge","coronet","gas","turbo",2,"hatchback","fwd","front",95.9,173.2,66.3,50.2,2811,"ohc",4,156,"mfi",3.6,3.9,7.0,145,5000,19,24,12964.0
6310.1690979390805,"31",2,"honda","civic","gas","std",2,"hatchback","fwd","front",86.6,144.6,63.9,50.8,1713,"ohc",4,92,"1bbl",2.91,3.41,9.6,58,4800,49,54,6479.0
6814.331818496383,"32",2,"honda","civic","gas","std",2,"hatchback","fwd","front",86.6,144.6,63.9,50.8,1819,"ohc",4,92,"1bbl",2.91,3.41,9.2,76,6000,31,38,6855.0
5560.772854486055,"33",1,"honda","civic","gas","std",2,"hatchback","fwd","front",93.7,150.0,64.0,52.6,1837,"ohc",4,79,"1bbl",2.91,3.07,10.1,60,5500,38,42,5399.0
6729.052508452482,"34",1,"honda","accord","gas","std",2,"hatchback","fwd","front",93.7,150.0,64.0,52.6,1940,"ohc",4,92,"1bbl",2.91,3.41,9.2,76,6000,30,34,6529.0
6828.052239039487,"35",1,"honda","civic","gas","std",2,"hatchback","fwd","front",93.7,150.0,64.0,52.6,1956,"ohc",4,92,"1bbl",2.91,3.41,9.2,76,6000,30,34,7129.0
7241.941750386304,"36",0,"honda","accord","gas","std",4,"sedan","fwd","front",96.5,163.4,64.0,54.5,2010,"ohc",4,92,"1bbl",2.91,3.41,9.2,76,6000,30,34,7295.0
7326.9357476621335,"37",0,"honda","civic","gas","std",4,"wagon","fwd","front",96.5,157.1,63.9,58.3,2024,"ohc",4,92,"1bbl",2.92,3.41,9.2,76,6000,30,34,7295.0
8357.439209619111,"38",0,"honda","accord","gas","std",2,"hatchback","fwd","front",96.5,167.5,65.2,53.3,2236,"ohc",4,110,"1bbl",3.15,3.58,9.0,86,5800,27,33,7895.0
8871.358523526735,"39",0,"honda","civic","gas","std",2,"hatchback","fwd","front",96.5,167.5,65.2,53.3,2289,"ohc",4,110,"1bbl",3.15,3.58,9.0,86,5800,27,33,9095.0
9196.843814530916,"40",0,"honda","prelude","gas","std",4,"sedan","fwd","front",96.5,175.4,65.2,54.1,2304,"ohc",4,110,"1bbl",3.15,3.58,9.0,86,5800,27,33,8845.0
10068.991918125696,"41",0,"honda","accord","gas","std",4,"sedan","fwd","front",96.5,175.4,62.5,54.1,2372,"ohc",4,110,"1bbl",3.15,3.58,9.0,86,5800,27,33,10295.0
13028.447072902269,"42",0,"honda","civic","gas","std",4,"sedan","fwd","front",96.5,175.4,65.2,54.1,2465,"ohc",4,110,"mpfi",3.15,3.58,9.0,101,5800,24,28,12945.0
10087.70520059163,"43",1,"honda","civic","gas","std",2,"sedan","fwd","front",96.5,169.1,66.0,51.0,2293,"ohc",4,110,"2bbl",3.15,3.58,9.1,100,5500,25,31,10345.0
7101.492111721582,"44",0,"isuzu","MU","gas","std",4,"sedan","rwd","front",94.3,170.7,61.8,53.5,2337,"ohc",4,111,"2bbl",3.31,3.23,8.5,78,4800,24,29,6785.0
8072.3715777784055,"45",1,"isuzu","D","gas","std",2,"sedan","fwd","front",94.5,155.9,63.6,52.0,1874,"ohc",4,90,"2bbl",3.03,3.11,9.6,70,5400,38,43,8916.5
8006.992597141809,"46",0,"isuzu","D","gas","std",4,"sedan","fwd","front",94.5,155.9,63.6,52.0,1909,"ohc",4,90,"2bbl",3.03,3.11,9.6,70,5400,38,43,8916.5
11167.993247666902,"47",2,"isuzu","D","gas","std",2,"hatchback","rwd","front",96.0,172.6,65.2,51.4,2734,"ohc",4,119,"spfi",3.43,3.23,9.2,90,5000,24,29,11048.0
34374.17990628774,"48",0,"jaguar","xj","gas","std",4,"sedan","rwd","front",113.0,199.6,69.6,52.8,4066,"dohc",6,258,"mpfi",3.63,4.17,8.1,176,4750,15,19,32250.0
34374.17990628774,"49",0,"jaguar","xf","gas","std",4,"sedan","rwd","front",113.0,199.6,69.6,52.8,4066,"dohc",6,258,"mpfi",3.63,4.17,8.1,176,4750,15,19,35550.0
36209.08510951097,"50",0,"jaguar","xk","gas","std",2,"sedan","rwd","front",102.0,191.7,70.6,47.8,3950,"ohcv",12,326,"mpfi",3.54,2.76,11.5,262,5000,13,17,36000.0
